study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_06	B_lineage	0	Naive B Cell	1	365	0.9833330430693673	0.9833330430693673	1.0	0.012082191780821918	0.04212328767123287	0.05420547945205479	0.9457945205479452	0.9457945205479452	0.0	0.9808219178082191	0.5299412915851273	0.8054794520547945	0.19452054794520549	0.7561643835616438	2.0800224669936775	0.024657534246575342	0.012328767123287673	0.11232876712328767	0.056164383561643834	CD27;MZB1	ITGAX;TBX21	0.4054794520547945	0.4054794520547945	0.9863013698630136	3.1836027397260267
vaccination_study_06	B_lineage	0	Memory B Cell	2	365	0.3457566310803044	0.3457566310803044	0.010958904109589041	0.3818630136986301	0.0	0.3818630136986301	0.0	0.0	0.0	0.9835616438356164	0.326027397260274	0.005479452054794521	0.005479452054794521	0.005479452054794521	0.26815586107065564	0.8082191780821918	0.33972602739726027	0.0	0.0	TCL1A;IGHM;MZB1		0.9835616438356164	0.9835616438356164	0.0136986301369863	2.5736986301369864
vaccination_study_06	B_lineage	0	Plasma Cell	3	365	0.2636061234086278	0.4191780821917808	0.4191780821917808	0.46128767123287673	0.35054794520547944	0.6	0.0	0.0	0.0	0.7178082191780822	0.2417808219178082	0.4191780821917808	0.00821917808219178	0.4054794520547945	0.8380537244179215	0.9561643835616438	0.4452054794520548	0.947945205479452	0.4410958904109589	MS4A1;CD79A;CD3D;LST1	LILRA4;IRF7;TCF4	0.0	0.0	0.0	0.0
vaccination_study_06	B_lineage	1	Memory B Cell	1	334	0.3457566310803044	0.3457566310803044	0.041916167664670656	0.19489021956087826	0.0	0.19489021956087826	0.0	0.0	0.0	0.9341317365269461	0.20658682634730538	0.020958083832335328	0.020958083832335328	0.020958083832335328	0.5362975121968955	0.4221556886227545	0.156686626746507	0.0	0.0	TCL1A;IGHM;MZB1		0.9760479041916168	0.9760479041916168	0.2215568862275449	2.8035928143712576
vaccination_study_06	B_lineage	1	Naive B Cell	2	334	0.48322854804158905	0.48322854804158905	0.27844311377245506	0.09601796407185628	0.01122754491017964	0.10724550898203593	0.17119760479041912	0.17119760479041912	0.0	0.9341317365269461	0.2985457656116339	0.27844311377245506	0.011976047904191617	0.25149700598802394	0.7357244325219446	0.19461077844311378	0.10029940119760479	0.029940119760479042	0.014970059880239521	CD27;MZB1	ITGAX;TBX21	0.3023952095808383	0.3023952095808383	0.5958083832335329	1.6723952095808383
vaccination_study_06	B_lineage	1	Plasma Cell	3	334	0.2636061234086278	0.4491017964071856	0.4491017964071856	0.42007485029940117	0.3432634730538922	0.6	0.0	0.0	0.0	0.5658682634730539	0.18488023952095808	0.4491017964071856	0.0718562874251497	0.32934131736526945	0.8964855996398984	0.8892215568862275	0.373502994011976	0.8952095808383234	0.49800399201596807	MS4A1;CD79A;CD3D;LST1	LILRA4;IRF7;TCF4	0.03592814371257485	0.038922155688622756	0.16467065868263472	0.2940119760479042
vaccination_study_06	B_lineage	10	Plasma Cell	1	204	0.2636061234086278	0.3872549019607843	0.3872549019607843	0.06850490196078432	0.15833333333333333	0.22683823529411765	0.16041666666666668	0.16041666666666668	0.0	0.4166666666666667	0.1286764705882353	0.3872549019607843	0.06862745098039216	0.29411764705882354	0.7757175027002983	0.1568627450980392	0.04044117647058824	0.45098039215686275	0.15359477124183005	MS4A1;CD79A;CD3D;LST1	LILRA4;IRF7;TCF4	0.6666666666666666	0.75	0.004901960784313725	1.9829656862745098
vaccination_study_06	B_lineage	10	Memory B Cell	2	204	0.3457566310803044	0.3457566310803044	0.0392156862745098	0.017777777777777778	0.0	0.017777777777777778	0.021437908496732026	0.021437908496732026	0.0	0.16666666666666666	0.020697167755991286	0.0196078431372549	0.0196078431372549	0.0196078431372549	0.5129068291830361	0.0392156862745098	0.013071895424836602	0.0	0.0	TCL1A;IGHM;MZB1		0.10294117647058823	0.10294117647058823	0.014705882352941176	0.30673202614379086
vaccination_study_06	B_lineage	10	Naive B Cell	3	204	0.48322854804158905	0.48322854804158905	0.0	0.028823529411764706	0.025735294117647058	0.054558823529411764	0.0	0.0	0.0	0.08823529411764706	0.012605042016806723	0.0	0.0	0.0	0.02550674283395573	0.058823529411764705	0.029411764705882353	0.06862745098039216	0.03431372549019608	CD27;MZB1	ITGAX;TBX21	0.049019607843137254	0.049019607843137254	0.0196078431372549	0.15098039215686274
vaccination_study_06	B_lineage	11	Memory B Cell	1	199	0.6922447273550567	0.6922447273550567	0.7726130653266332	0.2483417085427136	0.0	0.2483417085427136	0.5242713567839197	0.5242713567839197	0.0	0.9396984924623115	0.33835845896147404	0.2613065326633166	0.2613065326633166	0.2613065326633166	4.699936187850505	0.5226130653266332	0.22613065326633164	0.0	0.0	TCL1A;IGHM;MZB1		0.8391959798994975	0.8391959798994975	0.36180904522613067	3.1403517587939698
