study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	ref_fraction	raw_fraction	screfmapping_fraction	total_score
vaccination_study_09	B_lineage	0	Naive B Cell	1	1654	0.9696984852815089	0.9921402660217654	0.939540507859734	0.0	3.4966634187760675
vaccination_study_09	B_lineage	0	Memory B Cell	2	1654	0.3487532152043441	0.14691656590084642	0.09613059250302297	0.0	0.6799503131487213
vaccination_study_09	B_lineage	0	Plasma Cell	3	1654	0.3629572735067162	0.0018137847642079807	0.0012091898428053204	0.0	0.3670685189722543
vaccination_study_09	B_lineage	1	Naive B Cell	1	1317	0.9519148328093741	0.9893697798025817	0.8633257403189066	0.0	3.398232220812411
vaccination_study_09	B_lineage	1	Memory B Cell	2	1317	0.3487532152043441	0.2088078967350038	0.0979498861047836	0.0	0.7807957360851339
vaccination_study_09	B_lineage	1	Plasma Cell	3	1317	0.3629572735067162	0.009870918754745633	0.007593014426727411	0.0	0.3863437579410366
vaccination_study_09	B_lineage	10	Memory B Cell	1	641	0.7594884252643612	0.9984399375975039	0.8018720748829953	0.0	3.158864400303363
vaccination_study_09	B_lineage	10	Naive B Cell	2	641	0.45436196056016004	0.21840873634945399	0.20904836193447737	0.0	1.0128643006537639
vaccination_study_09	B_lineage	10	Plasma Cell	3	641	0.3629572735067162	0.0062402496099844	0.0046801872074883	0.0	0.3776218600901795
vaccination_study_09	B_lineage	11	Naive B Cell	1	640	0.9591490425835953	0.996875	0.9390625	0.0	3.4932115425835955
vaccination_study_09	B_lineage	11	Memory B Cell	2	640	0.3487532152043441	0.16875	0.0859375	0.0	0.7046907152043441
vaccination_study_09	B_lineage	11	Plasma Cell	3	640	0.3629572735067162	0.0046875	0.0015625	0.0	0.37201977350671617
vaccination_study_09	B_lineage	12	Memory B Cell	1	543	0.8883502429265504	0.9742173112338858	0.7108655616942909	0.0	3.157963502595059
vaccination_study_09	B_lineage	12	Naive B Cell	2	543	0.45436196056016004	0.39042357274401474	0.3756906077348066	0.0	1.4547302846853902
vaccination_study_09	B_lineage	12	Plasma Cell	3	543	0.3629572735067162	0.003683241252302026	0.001841620626151013	0.0	0.3706920801365505
vaccination_study_09	B_lineage	13	Memory B Cell	1	482	0.7980940983138038	0.9522821576763485	0.8692946058091287	0.0	3.19104015640509
vaccination_study_09	B_lineage	13	Naive B Cell	2	482	0.45436196056016004	0.2551867219917012	0.17219917012448133	0.0	1.0348598858713633
vaccination_study_09	B_lineage	13	Plasma Cell	3	482	0.3629572735067162	0.002074688796680498	0.002074688796680498	0.0	0.36835146437808547
vaccination_study_09	B_lineage	14	Naive B Cell	1	459	0.9493819662760788	0.9760348583877996	0.8366013071895425	0.0	3.347639046886101
vaccination_study_09	B_lineage	14	Memory B Cell	2	459	0.3487532152043441	0.2766884531590414	0.16775599128540306	0.0	0.9592107315442134
vaccination_study_09	B_lineage	14	Plasma Cell	3	459	0.3629572735067162	0.010893246187363835	0.008714596949891068	0.0	0.3891010643563894
vaccination_study_09	B_lineage	15	Naive B Cell	1	430	0.947658259502715	0.9837209302325581	0.913953488372093	0.0	3.435565236246901
vaccination_study_09	B_lineage	15	Memory B Cell	2	430	0.3487532152043441	0.1883720930232558	0.07441860465116279	0.0	0.7245671686927162
vaccination_study_09	B_lineage	15	Plasma Cell	3	430	0.3629572735067162	0.009302325581395349	0.0069767441860465115	0.0	0.3848177386229953
vaccination_study_09	B_lineage	16	Naive B Cell	1	416	0.9457934409831381	0.9855769230769231	0.7572115384615384	0.0	3.2799280563677535
vaccination_study_09	B_lineage	16	Memory B Cell	2	416	0.3487532152043441	0.2692307692307692	0.1466346153846154	0.0	0.9261570613581903
vaccination_study_09	B_lineage	16	Plasma Cell	3	416	0.3629572735067162	0.016826923076923076	0.016826923076923076	0.0	0.4067072735067162
vaccination_study_09	B_lineage	17	Plasma Cell	1	293	0.3629572735067162	0.9761092150170648	0.9761092150170648	0.0	2.900841232551085
vaccination_study_09	B_lineage	17	Naive B Cell	2	293	0.45436196056016004	0.0034129692832764505	0.0	0.0	0.45982271141340236
vaccination_study_09	B_lineage	17	Memory B Cell	3	293	0.3487532152043441	0.030716723549488054	0.023890784982935155	0.0	0.42179075786646014
vaccination_study_09	B_lineage	18	Naive B Cell	1	262	0.9499857102029151	1.0	0.9351145038167938	0.0	3.4851002140197087
vaccination_study_09	B_lineage	18	Memory B Cell	2	262	0.3487532152043441	0.2099236641221374	0.0648854961832061	0.0	0.7495165739829701
vaccination_study_09	B_lineage	18	Plasma Cell	3	262	0.3629572735067162	0.003816793893129771	0.0	0.0	0.3690641437357238
