study	lineage	cluster	n_cells	review_priority	priority_score	review_reasons	suggested_action	final_label	marker_assignment	raw_marker_winner	assignment_reason	marker_score	best_total_score	score_margin	top_celltypist	top_panhuman_fine	top_screfmapping	llm_review_packet
infection_study_01	B_lineage	2	408	low	3	marker_assignment_disagrees_with_final	review_marker_vs_reference_disagreement	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.5373039215686275	4.058512712497405	3.306502908575837	Memory B Cell:383; Naive B Cell:21; B Cell:4	Memory B Cell:404; Naive B Cell:3; Blood Cell:1	Memory B Cell:396; Naive B Cell:12	Study=infection_study_01; lineage=B_lineage; cluster=2; cells=408; final=Memory B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.537; best_total_score=4.059; score_margin=3.307; CellTypist=Memory B Cell:383; Naive B Cell:21; B Cell:4; PanHuman=Memory B Cell:404; Naive B Cell:3; Blood Cell:1; scRefMap=Memory B Cell:396; Naive B Cell:12; review_reasons=marker_assignment_disagrees_with_final.
infection_study_01	B_lineage	22	85	medium	4	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate	evaluate_ontology_gap_or_conservative_policy	Plasma Cell	Plasmablast	Plasmablast	raw_marker_winner	0.6620392156862744	4.129411764705882	1.7261960784313723	Plasma Cell:73; Plasmablast:12	Plasma Cell:84; Blood Cell:1	Plasma Cell:80; Naive B Cell:3; Memory B Cell:2	Study=infection_study_01; lineage=B_lineage; cluster=22; cells=85; final=Plasma Cell; marker_assignment=Plasmablast; raw_marker_winner=Plasmablast; assignment_reason=raw_marker_winner; marker_score=0.662; best_total_score=4.129; score_margin=1.726; CellTypist=Plasma Cell:73; Plasmablast:12; PanHuman=Plasma Cell:84; Blood Cell:1; scRefMap=Plasma Cell:80; Naive B Cell:3; Memory B Cell:2; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate.
infection_study_01	B_lineage	3	402	low	3	marker_assignment_disagrees_with_final	review_marker_vs_reference_disagreement	Memory B Cell	Naive B Cell	Naive B Cell	raw_marker_winner	0.3203233830845771	3.784923761654357	2.879028239266298	Memory B Cell:347; Naive B Cell:48; B Cell:7	Memory B Cell:376; Naive B Cell:21; Blood Cell:5	Memory B Cell:355; Naive B Cell:46; Plasma Cell:1	Study=infection_study_01; lineage=B_lineage; cluster=3; cells=402; final=Memory B Cell; marker_assignment=Naive B Cell; raw_marker_winner=Naive B Cell; assignment_reason=raw_marker_winner; marker_score=0.320; best_total_score=3.785; score_margin=2.879; CellTypist=Memory B Cell:347; Naive B Cell:48; B Cell:7; PanHuman=Memory B Cell:376; Naive B Cell:21; Blood Cell:5; scRefMap=Memory B Cell:355; Naive B Cell:46; Plasma Cell:1; review_reasons=marker_assignment_disagrees_with_final.
infection_study_01	T_NK_lineage	0	1329	low	3	screfmapping_not_available	accept	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	raw_marker_winner	0.5396802106847254	3.115752445447705	2.589115876598947	CD8 Cytotoxic / T Effector Memory:1318; NK Cell:5; Treg:5; MAIT Cell:1	CD8 Cytotoxic / T Effector Memory:1302; Blood Cell:16; Treg:5; gdT Cell:3; NK Cell:2	not_available:1328; CD4 T Effector Memory:1	Study=infection_study_01; lineage=T_NK_lineage; cluster=0; cells=1329; final=CD8 Cytotoxic / T Effector Memory; marker_assignment=CD8 Cytotoxic / T Effector Memory; raw_marker_winner=CD8 Cytotoxic / T Effector Memory; assignment_reason=raw_marker_winner; marker_score=0.540; best_total_score=3.116; score_margin=2.589; CellTypist=CD8 Cytotoxic / T Effector Memory:1318; NK Cell:5; Treg:5; MAIT Cell:1; PanHuman=CD8 Cytotoxic / T Effector Memory:1302; Blood Cell:16; Treg:5; gdT Cell:3; NK Cell:2; scRefMap=not_available:1328; CD4 T Effector Memory:1; review_reasons=screfmapping_not_available.
infection_study_01	T_NK_lineage	1	1307	high	7	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	NK Cell	NKT Cell	NKT Cell	raw_marker_winner	0.8639097169089518	3.0051813312930378	1.778528691660291	NK Cell:795; CD8 Cytotoxic / T Effector Memory:511; gdT Cell:1	NK Cell:1117; CD8 Cytotoxic / T Effector Memory:104; Blood Cell:81; Lymphoid Cell:5	not_available:1307	Study=infection_study_01; lineage=T_NK_lineage; cluster=1; cells=1307; final=NK Cell; marker_assignment=NKT Cell; raw_marker_winner=NKT Cell; assignment_reason=raw_marker_winner; marker_score=0.864; best_total_score=3.005; score_margin=1.779; CellTypist=NK Cell:795; CD8 Cytotoxic / T Effector Memory:511; gdT Cell:1; PanHuman=NK Cell:1117; CD8 Cytotoxic / T Effector Memory:104; Blood Cell:81; Lymphoid Cell:5; scRefMap=not_available:1307; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_01	T_NK_lineage	11	767	medium	5	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.5255867014341591	3.0664667535853978	2.5408800521512385	CD8 Cytotoxic / T Effector Memory:758; NK Cell:9	CD8 Cytotoxic / T Effector Memory:766; NK Cell:1	not_available:767	Study=infection_study_01; lineage=T_NK_lineage; cluster=11; cells=767; final=CD8 Cytotoxic / T Effector Memory; marker_assignment=CD8 Cytotoxic / T Effector Memory; raw_marker_winner=NKT Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.526; best_total_score=3.066; score_margin=2.541; CellTypist=CD8 Cytotoxic / T Effector Memory:758; NK Cell:9; PanHuman=CD8 Cytotoxic / T Effector Memory:766; NK Cell:1; scRefMap=not_available:767; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_01	T_NK_lineage	13	717	medium	6	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	NK Cell	NKT Cell	NKT Cell	raw_marker_winner	0.89139470013947	3.164039051603905	2.179283124128312	NK Cell:637; CD8 Cytotoxic / T Effector Memory:75; gdT Cell:5	NK Cell:556; CD8 Cytotoxic / T Effector Memory:110; Blood Cell:44; Lymphoid Cell:6; MAIT Cell:1	not_available:717	Study=infection_study_01; lineage=T_NK_lineage; cluster=13; cells=717; final=NK Cell; marker_assignment=NKT Cell; raw_marker_winner=NKT Cell; assignment_reason=raw_marker_winner; marker_score=0.891; best_total_score=3.164; score_margin=2.179; CellTypist=NK Cell:637; CD8 Cytotoxic / T Effector Memory:75; gdT Cell:5; PanHuman=NK Cell:556; CD8 Cytotoxic / T Effector Memory:110; Blood Cell:44; Lymphoid Cell:6; MAIT Cell:1; scRefMap=not_available:717; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_01	T_NK_lineage	14	708	medium	6	marker_assignment_disagrees_with_final;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	MAIT Cell	NKT Cell	NKT Cell	raw_marker_winner	0.8376271186440678	2.3312005649717515	0.3830014124293786	CD8 Cytotoxic / T Effector Memory:336; MAIT Cell:192; NK Cell:153; gdT Cell:12; CD4 Naive / T Central Memory:9	CD8 Cytotoxic / T Effector Memory:310; MAIT Cell:205; Blood Cell:94; gdT Cell:91; NK Cell:4	not_available:694; CD4 T Effector Memory:14	Study=infection_study_01; lineage=T_NK_lineage; cluster=14; cells=708; final=MAIT Cell; marker_assignment=NKT Cell; raw_marker_winner=NKT Cell; assignment_reason=raw_marker_winner; marker_score=0.838; best_total_score=2.331; score_margin=0.383; CellTypist=CD8 Cytotoxic / T Effector Memory:336; MAIT Cell:192; NK Cell:153; gdT Cell:12; CD4 Naive / T Central Memory:9; PanHuman=CD8 Cytotoxic / T Effector Memory:310; MAIT Cell:205; Blood Cell:94; gdT Cell:91; NK Cell:4; scRefMap=not_available:694; CD4 T Effector Memory:14; review_reasons=marker_assignment_disagrees_with_final,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_01	T_NK_lineage	16	616	medium	5	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.5408603896103896	2.995284090909092	2.3582711038961044	CD8 Cytotoxic / T Effector Memory:591; NK Cell:15; MAIT Cell:4; gdT Cell:3; CD4 Naive / T Central Memory:1	CD8 Cytotoxic / T Effector Memory:586; Blood Cell:14; MAIT Cell:6; CD8 Naive / T Central Memory:3; gdT Cell:3	not_available:611; CD4 T Effector Memory:4; CD4 Naive / T Central Memory:1	Study=infection_study_01; lineage=T_NK_lineage; cluster=16; cells=616; final=CD8 Cytotoxic / T Effector Memory; marker_assignment=CD8 Cytotoxic / T Effector Memory; raw_marker_winner=NKT Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.541; best_total_score=2.995; score_margin=2.358; CellTypist=CD8 Cytotoxic / T Effector Memory:591; NK Cell:15; MAIT Cell:4; gdT Cell:3; CD4 Naive / T Central Memory:1; PanHuman=CD8 Cytotoxic / T Effector Memory:586; Blood Cell:14; MAIT Cell:6; CD8 Naive / T Central Memory:3; gdT Cell:3; scRefMap=not_available:611; CD4 T Effector Memory:4; CD4 Naive / T Central Memory:1; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
infection_study_01	T_NK_lineage	17	610	medium	5	raw_marker_winner_changed_by_policy;ambiguous_or_missing_label_candidate;screfmapping_not_available	evaluate_ontology_gap_or_conservative_policy	CD8 Cytotoxic / T Effector Memory	CD8 Cytotoxic / T Effector Memory	NKT Cell	source_supported_marker_tiebreak	0.525172131147541	3.037631147540984	2.130909836065574	CD8 Cytotoxic / T Effector Memory:587; NK Cell:17; Treg:4; Classical Monocyte:1; Blood Cell:1	CD8 Cytotoxic / T Effector Memory:564; Blood Cell:30; Lymphoid Cell:10; Treg:4; NK Cell:2	not_available:607; CD4 T Effector Memory:2; CD4 Naive / T Central Memory:1	Study=infection_study_01; lineage=T_NK_lineage; cluster=17; cells=610; final=CD8 Cytotoxic / T Effector Memory; marker_assignment=CD8 Cytotoxic / T Effector Memory; raw_marker_winner=NKT Cell; assignment_reason=source_supported_marker_tiebreak; marker_score=0.525; best_total_score=3.038; score_margin=2.131; CellTypist=CD8 Cytotoxic / T Effector Memory:587; NK Cell:17; Treg:4; Classical Monocyte:1; Blood Cell:1; PanHuman=CD8 Cytotoxic / T Effector Memory:564; Blood Cell:30; Lymphoid Cell:10; Treg:4; NK Cell:2; scRefMap=not_available:607; CD4 T Effector Memory:2; CD4 Naive / T Central Memory:1; review_reasons=raw_marker_winner_changed_by_policy,ambiguous_or_missing_label_candidate,screfmapping_not_available.
