study	lineage	cluster	candidate_label	rank_within_cluster	n_cells	marker_pct	marker_decision_score	marker_base_score	negative_marker_penalty	confound_marker_penalty	marker_penalty	marker_discriminative_score	marker_gate_score	key_marker_bonus	marker_any_fraction	marker_mean_positive_fraction	key_marker_any_fraction	key_marker_two_fraction	key_marker_max_fraction	key_marker_enrichment	negative_marker_any_fraction	negative_marker_mean_positive_fraction	confound_marker_any_fraction	confound_marker_mean_positive_fraction	available_negative_markers	available_confound_markers	available_policy_required_markers	policy_required_any_fraction	policy_required_mean_positive_fraction	ref_fraction	raw_fraction	screfmapping_fraction	total_score
infection_study_04	B_lineage	0	Naive B Cell	1	774	0.9835035529051568	0.9844961240310077	1.0	0.056416881998277345	0.0774547803617571	0.13387166236003445	0.8661283376399656	0.8661283376399656	0.0	1.0	0.6785816824576514	0.9844961240310077	0.8372093023255814	0.9651162790697675	1.3584337569094262	0.12403100775193798	0.04220499569336778	0.22093023255813954	0.07450473729543497	CD27;TNFRSF13B;MZB1	FCRL5;ITGAX;TBX21		0.0	0.0	0.9599483204134367	0.9444444444444444	0.9844961240310077	4.527885443583118
infection_study_04	B_lineage	0	Memory B Cell	2	774	0.9497852263120616	0.9497852263120616	0.2364341085271318	0.5	0.0	0.5	0.0	0.0	0.0	0.9935400516795866	0.28870096311956783	0.2364341085271318	0.006459948320413436	0.21188630490956073	0.5492331009670456	0.9870801033591732	0.5778423772609819	0.0	0.0	TCL1A;IGHD;IGHM;MZB1			0.0	0.0	0.041343669250646	0.041343669250646	0.011627906976744186	0.12144702842377263
infection_study_04	B_lineage	0	Plasma Cell	3	774	0.2691068613338817	0.2691068613338817	0.13049095607235142	0.46248062015503877	0.1309108527131783	0.593391472868217	0.0	0.0	0.0	0.3850129198966408	0.058947028423772606	0.13049095607235142	0.006459948320413436	0.09560723514211886	0.2519319447825446	0.975452196382429	0.41731266149870805	0.3850129198966408	0.10271317829457363	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4		0.0	0.0	0.0012919896640826874	0.0012919896640826874	0.0	0.0033591731266149876
infection_study_04	B_lineage	0	Plasmablast	4	774	0.286231635707268	0.286231635707268	0.12532299741602068	0.4208613264427218	0.022609819121447026	0.44347114556416883	0.0	0.0	0.0	0.29198966408268734	0.04651162790697675	0.12532299741602068	0.003875968992248062	0.09560723514211886	0.25122526722660243	0.9237726098191215	0.31739879414298017	0.06459948320413436	0.021533161068044787	MS4A1;LST1;CD3D	LILRA4;CLEC4C;IRF7		0.0	0.0	0.0	0.0	0.0	0.0
infection_study_04	B_lineage	1	Plasma Cell	1	556	0.9437247241072041	0.9437247241072041	1.0	0.19419964028776976	0.08720773381294963	0.28140737410071937	0.7185926258992806	0.7185926258992806	0.0	0.9694244604316546	0.4010791366906475	0.8219424460431655	0.48381294964028776	0.6258992805755396	1.4918602893617126	0.4316546762589928	0.13714028776978418	0.25539568345323743	0.07059352517985612	MS4A1;CD79A;CD3D;LST1	LILRA4;CLEC4C;IRF7;TCF4		0.0	0.0	0.9496402877697842	0.8615107913669064	0.1510791366906475	3.2808228417266188
infection_study_04	B_lineage	1	Plasmablast	2	556	0.919105718920648	0.919105718920648	0.9106652302869694	0.1746043165467626	0.055035971223021576	0.22964028776978418	0.6810249425171853	0.6810249425171853	0.0	0.8830935251798561	0.3049845837615622	0.789568345323741	0.39388489208633093	0.6258992805755396	1.4843875398529138	0.37410071942446044	0.1474820143884892	0.1564748201438849	0.053956834532374105	MS4A1;LST1;CD3D	LILRA4;CLEC4C;IRF7		0.0	0.0	0.44244604316546765	0.08453237410071943	0.0	1.4734709856826531
infection_study_04	B_lineage	1	Naive B Cell	3	556	0.8835766673521146	0.8835766673521146	0.8970574813631461	0.28215827338129496	0.08084532374100718	0.3630035971223021	0.534053884240844	0.534053884240844	0.0	0.908273381294964	0.15447641886490807	0.8525179856115108	0.02697841726618705	0.8399280575539568	1.1781579830065412	0.6061151079136691	0.23561151079136688	0.22841726618705036	0.08213429256594723	CD27;TNFRSF13B;MZB1	FCRL5;ITGAX;TBX21		0.0	0.0	0.012589928057553957	0.012589928057553957	0.22302158273381295	0.8344135964710597
infection_study_04	B_lineage	1	Memory B Cell	4	556	0.6642847350743711	0.6642847350743711	0.2446043165467626	0.4379496402877698	0.0	0.4379496402877698	0.0	0.0	0.0	0.5845323741007195	0.08485938521909744	0.2446043165467626	0.017985611510791366	0.11870503597122302	0.5674422227196604	0.9442446043165468	0.3597122302158273	0.0	0.0	TCL1A;IGHD;IGHM;MZB1			0.0	0.0	0.03597122302158273	0.008992805755395683	0.39568345323741005	0.5413669064748201
infection_study_04	B_lineage	10	Naive B Cell	1	266	0.9462380332213769	0.9462380332213769	0.8629161886254196	0.15047619047619049	0.09398496240601503	0.24446115288220552	0.6184550357432141	0.6184550357432141	0.0	1.0	0.5066833751044277	0.8270676691729323	0.40601503759398494	0.793233082706767	1.1433940778099494	0.32706766917293234	0.11904761904761903	0.2631578947368421	0.10025062656641603	CD27;TNFRSF13B;MZB1	FCRL5;ITGAX;TBX21		0.0	0.0	0.5263157894736842	0.4774436090225564	0.43609022556390975	2.461312178600357
infection_study_04	B_lineage	10	Memory B Cell	2	266	0.9434905293942925	0.9434905293942925	0.40977443609022557	0.400827067669173	0.0	0.400827067669173	0.008947368421052593	0.008947368421052593	0.0	0.9887218045112782	0.31408065618591935	0.40977443609022557	0.07142857142857142	0.24060150375939848	0.9355604896517157	0.8458646616541353	0.3609022556390978	0.0	0.0	TCL1A;IGHD;IGHM;MZB1			0.0	0.0	0.32706766917293234	0.3082706766917293	0.31203007518796994	1.2149624060150375
